,input,actual,predicted
2280,"x-ri-im-{d}suen
","did RimSin 
","lancet
"
2281,"{d}nin-szubur lugal-mu-ra
","for Ninubur my master 
","For Ninubur my master
"
2282,"bi-tum sza pu-lu-uh2-ta-am na-da-... lu-uh2-szu sza eridu{ki}
","Temple that bears an aura the luhu functionary of Eridu 
","The allegiancesense of the land was forgotten and the homeland
"
2283,"tir a-sza3 {d}szara2-si i3-dab5
","the arasifieldwoods took in charge 
","the field Center
"
2284,"{gesz}... gal
","a wooden threshing tool 
","a type of wood or plant
"
2285,"{gesz}pan gal-gal {gesz}ilar {kusz}gurx(|E.TUM|){ur3}-ra tesz2 im-da-gu7-e
","The large bows throwsticks and shields gathered together to strike 
","With a large bow down he weeded
"
2286,"bad3-bi
","and their walls
","That wall
"
2287,"mu-un-lu2-lu2 nam-ti kar-kar-re-mesz
","he has multiplied those who betake their lives there 
","from militry service
"
2288,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
2289,"dumu za3-mu
","son of Zamu 
","son of Zamu
"
2290,"mu-na-diri
","he made it surpass
","he made it surpass
"
2291,"dam-...
","He said may your wife be my mother 
","It is her spouse it is her son
"
2292,"ba-ta-kesz2-kesz2
","he bundled off 
","he bundled off
"
2293,"ku3-bi 2/3(disz) gin2
","its silver 23 shekel 
","its silver 23 shekel
"
2294,"dub-la2 mah
","the Dublamah
","the Dublamah
"
2295,"uru2-gu10 sza3 ku3-gu10 mu-e-szi-hug za-a-ar ma-ra-an-gur-ra-am3
","has said My city you have placated my sacred heart towards you He has returned to you 
","My city honeyplants are planted and the enemy territory
"
2296,"x x ku3 ki nam-eresz-za {d}nanna lugal-bi-ir
","The holy  is a pure place of your queenship for Nanna the king 
","Nanna Keeps Secure the silver of the Nation
"
2297,"...-dul4
","Southern storm that covers the four corners of the world 
","lancet
"
2298,"ka-ta nu-szub-bu-de3
","should not fall from the lips
","So that it is not dropped his hand so that it is not dropped byfrom the mouth
"
2299,"ku3 {d}inanna-ke4 sza3 {si3-ga}sig6-ga-na {mi}mi2 zi mu-ni-in-du11 = %a el-le-tu4 {d}isz-tar ina t,u-ub lib3-bi-szu ki-nisz u2-kan-ni
","He in his goodness of heart treated holy Inanna well   
","He in his goodness Inanna gave birth to the man of holy Inanna well
"
2300,"{d}nin-szubur
","To Ninubur 
","For Ninubur
"
2301,"lugal ki-en-gi ki-uri-me-en
","and king of Sumer and Akkad  
","and king of Sumer and Akkad
"
2302,"gesz bala = %a ni-pu-um
","dried wood 
","1343
"
2303,"bi2-ib2-szum2-mu-x
","he will give it 
","lancet
"
2304,"2(asz) 2(barig) 3(ban2) gur
","2 gur 2 barig 3 ban2
","2 gur 2 barig 3 ban2
"
2305,"e2-ninnu me-be2 an ki-a pa e3 mu-ak-ke4
","I will make the me of Eninnu emerge in heaven and on earth 
","he put in proper order for him he exercised
"
2306,"i7-pa-e3 dumu a-ab-ba
","Ipae son of Ayabba 
","xxx
"
2307,"dumu ur-e2-nun{ki}
","son of Urenun 
","son of Sagazu
"
2308,"{d}asznan e2-libir
","xxx 
","Sulfur matakal plant
"
2309,"an-ta-sur-ra
","To the Antasura 
","the Antasura
"
2310,"a2-bi u4 3(gesz2) 4(u) 5(disz)-kam
","its labor 225 days 
","its labor 22 days
"
2311,"a-a {d}en-lil2 {gesz}ellag-gu10 kur-sze3 mu-da-an-szub {gesz}e-ke4-ma-gu10 ganzer-sze3 mu-da-an-szub
","Father Enlil my ball  fell down into the nether world my mallet  fell down into Ganzer 
","Father Enlil my ball fell down into the nether world my mallet fell down into Ganzer
"
2312,"1(gesz2) 2(u) 9(asz) 3(barig) 3(ban2) ziz2 gur
","89 gur 3 barig 3 ban emmer 
","88 gur 3 barig 3 ban2 emmer
"
2313,"en-na nu-al-mu2-mu2 al-tusz-en e-sze
","Until it stops growingchasing I am staying here 
","indeed I
"
2314,"kiszib3 dab-ba a2 erin2-na-ka
","xxx 
","xxx
"
2315,"1(barig) 3(ban2) a-kal-la
","1 barig 3 ban2 Akalla 
","1 barig 3 ban2 Akalla
"
2316,"nim
","fly 
","fly
"
2317,"nam-um-ma-am6
","are for the old wailing women 
","are for the old wailing women
"
2318,"udu szuku-ra
","sheep distribution 
","sheep of allocation
"
2319,"{d}suen-ha-zi-ir
","Snzir
","lancet
"
2320,"lu2 in-da-su2
","a man of Indasu
","Indasu
"
2321,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
2322,"iti du6-ku3
","month Silverhill 
","months in Nippur
"
2323,"i-nu-ma um-ma-na-tum
","when the troops 
","for the month Hiyare
"
2324,"lugal an-ub-da limmu2-ba
","king of the four world quarters
","king of the four corners
"
2325,"ki-ur3 ki gal ba-du3-a-bi
","After Kiur the great place had been built 
","after the Kiur had been built
"
2326,"sza3 GAN2 szuku-da-ni
","in his allocated field 
","Contents of the basket of the Zulum
"
2327,"a-na bi2-hul = %a mi-nam u2-le-mi-in
","what did he treat badly 
","How long will the brickwork strain its eyes upwards in submission
"
2328,"iti ezem-{d}szu-{d}suen
","month festival of uSuen 
","month FestivalofuSuen
"
2329,"i3-gal2
","are here
","are here
"
2330,"ensix(|GAR.PA.TE.SI|)
","ruler 
","ruler
"
2331,"x-x ib2-su-su
"," will repay 
","shall replace it
"
2332,"{d}nansze
","this mortar which for Nane 
","of Nane
"
2333,"lugal kal-ga
","strong king
","strong king
"
2334,"... ha-la-bi he2-a-...
"," may  be itstheir inheritance share 
","Did you see the leprous man
"
2335,"a2-bi 1(gesz'u) 5(gesz2) 1(u) 1(disz) u4 1(disz)-sze3
","its labor 911 workdays
","its labor 318 days
"
2336,"u4 sa2 du11-ga hi-li gur3-am3
","It is the dawn dressed in joy 
","The storm blew an evil storm silence lay upon the city
"
2337,"ub3 zabar nu-gal2-la ki-bi-sze3 im-mi-in-e3
","where there were no bronze ub drums he despatched some to their places 
","he brings out to the city
"
2338,"u3-tu-da
","newborns 
","newborns
"
2339,"lugal unu{ki}-ga
","king of Uruk 
","king of Uruk
"
2340,"1(disz) ug3 {d}nin-szubur-an-dul3
","1 workman porter Ninuburandul 
","1 workman porter Urkimah
"
2341,"szunigin sze-bi 1(gesz'u) 3(u) 3(asz) 1(barig) 3(ban2) 2(disz) sila3 gur
","total its barley 633 gur 1 barig 3 ban2 2 sila3 
","total its barley 93 gur 1 barig 3 ban2 2 sila3
"
2342,"gu3-de2-a ensi2
","Gudea ruler
","Gudea ruler
"
2343,"me-li-e-a {e2}tur3 bu-ra-gen ab2 sag2 du11-ga-gen
","Woe is me I am one whose cowpen has been torn down I am one whose cows have been scattered 
","Woe is me the cooked mash on large reed mats
"
2344,"en-he2-du7-an-na
","Eneduana 
","Eneduana
"
2345,"ki ...
","to Ki 
","Assorted
"
2346,"{d}inanna ri-im-{d}suen numun nig2-zi ri sza3 du10-ga-za bala-a-ni su3 szum2-ma-ni-ib
","Inanna give RmSn the seed of justice planted in your good womb his lengthy reign 
","May Inanna RmSn may the true seed of the palace Ganzer separately
"
2347,"1(u) x ...
","1  
","ten
"
2348,"gir4 mah-ba gu4 udu nu-ke3-e ir nu-mu-un-ur5-ur5-e
","In the great oven the oxen and sheep were not being prepared ie roasted one could no longer smell it 
","At the great oven the oxen and sheep of
"
2349,"lu2 umma{ki}-ke4
","the Man of Umma 
","The ruler of Umma
"
2350,"a2 diri 1(gesz2) 4(disz) 1/2(disz) gurusz
","labor surplus 64 12 male laborers
","surplus 64 12 male laborers
"
2351,"asz-ne2-u18
","xxx 
","lancet
"
2352,"ki {gesz}bun-na-kam a-da-min3 mu-un-ak-...
","It was at the site of the banquet that they were having a adamin debate 
","The penis that has made its pile of stones
"
2353,"...-nar-ra
","It is the case that I  the art of the musician 
","lancet
"
2354,"mu-na-an-dim2
","he fashioned for her
","he fashioned for her
"
2355,"iti sze-sag11-ku5-sze3
","to month Harvest 
","to month Harvest
"
2356,"{d}inanna
","For Inanna 
","For Inanna
"
2357,"ki szu kar2 gi4-zu {gesz}kim nu-ra-ab-tuku
","In your place where denigration is returned the password pun is not available to you 
","Taking counsel in the place filled with awe ofin the day
"
2358,"...-ni gu2-da mu-un-la2-la2 e-ne ne mu-un-su-su-ub-...
","He repeatedly hugged him and kissed him 
","The accusatory finger was there pointing behind him
"
2359,"nita kal-ga
","mighty man 
","the mighty man
"
2360,"{d}er3-ra-qu2-ra-ad
","Erraqurad 
","lancet
"
2361,"ki ur-ku3-nun-na
","xxx 
","from the account of Urkununa
"
2362,"ra-gaba ku3 an-sza3-ta dub nam-ti-la-na e11-de3
","Pure rider bringing her tablet of life down from the midst of heaven 
","The holy algar instrument the balag drum of the tamborinerattle
"
2363,"KUM-tusz-sze3
","to KUMtu 
","and KUMtue the KUMtue
"
2364,"gur gub-ba
","the one who had set up a false gur measure 
","and gur stationed
"
2365,"... x x ma-ab-se3-se3-...
"," was giving advice 
","uncleanliness he seeks
"
2366,"1(gesz2) 5(u) 6(disz) sila4 dili-ur4
","116 male shearlings 
","116
"
2367,"ka2 uz-ga kuruszda nidba gal-gal gul-la ...
","At the gate of the uzga precinct the animalfattener  the great offerings 
","Your uzga precinct established for purification ceremonies
"
2368,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
2369,"dam ki-ag2
","the beloved wife 
","beloved spouse
"
2370,"a-sza3 tak4-tak4 ma-ra-ra-duh-...
","For you I loosen the set aside field 
","at the field Muru
"
2371,"mu e2 {d}szara2 ba-du3
","year The house of ara was erected 
","year The house of ara was erected
"
2372,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
2373,"1(disz) nimgir-di-ne gudu4
","1 Nimgirdine the priest 
","1 Nimgirdine
"
2374,"i7-da nir gal2-la-bi nu-mu-un-DU-DU ulu3{+lu}-gu10 ba-dul-dul
","One cannot move in the rivercanal confidently my south wind covers completely 
","The river gurgles to the lord
"
2375,"ar3-ra zi-ga
","for milling booked out 
","ground
"
2376,"me hal-hal-ne u iszib-ne
","The ones dividing up the me ten iib priests 
","The one that binds the cosmic powers of the nine
"
2377,"kiszib3 lu2-giri17-zal
","under seal of Lugirizal 
","under seal of Lugirizal
"
2378,"masz2 u2-szim-ma
","pastured goats 
","a kind of bat
"
2379,"{gesz}ha-lu-ub
","a Prunus Mahaleb tree 
","lancet
"
2380,"engar gu4-ra
","oxdriving farmers 
","farmer
"
2381,"gesz ka2-na-ta ba-ta-KU
","From the wood of the door  
","May the gadala priest
"
2382,"szunigin 5(u) 6(disz) dumu 1(disz) 1/2(disz) ma-na-ta
","total 56 children 1 12 mina each 
","total 56 children 1 12 mina each
"
2383,"u4 1(u) la2 1(disz)-kam
","9th day 
","the 9th day
"
2384,"ki-sur-ra
","Within the territory 
","over the boundary territory
"
2385,"szubur
","did ubur 
","from ubur
"
2386,"nu-banda3 lugal-iri-da
","xxx 
","superintendent Lugalirida
"
2387,"iti a2-ki-ti
","month Aktu 
","month Akitu
"
2388,"sipa x ti HU
","The shepherd  
","xxx
"
2389,"mu ugnim tu-ru-uq-qum
","total 2 year designations 
","year The arum was destroyed
"
2390,"gir2-su2{ki}
","Girsu 
","Girsu
"
2391,"ki-ag2 {d}en-lil2
","beloved of Enlil 
","beloved of Enlil
"
2392,"e-sze3-DU
","be brought against them 
","lancet
"
2393,"x-KID ab-munus-x
","did 
","Eannatum
"
2394,"szunigin 1(bur3) GAN2 1(u) 2(disz)-ta
","total 1 bur3 surface area at 12 each 
","total 1 bur3 surface area at 12 each
"
2395,"...-tuku kasz4 di-me-en
","I am a sprinting runner 
","Along with the aura radiance and the southern stormwind you have brought for yourself the furious stupor of the people to the fore
"
2396,"kiszib3 2(disz) a-gu-gu
","Two sealed tablets of Agugu 
","2 sealed tablets of Agugu
"
2397,"lu2 e2 {d}ga2-tum3-du10 du3-a
","the man who built the temple of Gatumdu 
","the man who built the temple of Gatumdu
"
2398,"4(iku) GAN2 4(asz) gur ...
","4 iku field area 4 gur  
","4 iku field 4 gur
"
2399,"ugula ur-ge6-par4
","xxx 
","foreman Urgepar
"
2400,"e2-lunga-na kasz nu-un-gal2 gid2-da-...-x-gal2
","He did not have beer in his brewery its  was not present 
","There was no beer in the beerhall there was no more malt
"
2401,"sukkal u3 ip-pi2-ir sza3 szuszin
","Regent and  in Susa 
","The minister and latch of the temple
"
2402,"u4 1(u) 8(disz)-kam
","18th day 
","18th day
"
2403,"sza3 gir2-su{ki}
","xxx
","in Girsu
"
2404,"i-na-mi a-sza3 {d}en-lil2
","They say in the field of Enlil 
","and the best fields of Enlil
"
2405,"GAN2 kaskal-... nam-bi2-ib2-ga2-ga2 nam-silig ga-GA2-am3
","One should not put down a field on a road there will be crushinggrowling force 
","Do not use force of the pipe and flute before you
"
2406,"an {d}inanna-da hul2-la-am3
","An was one who rejoiced with Inanna 
","The circumscribed limits of heaven was rejoicing
"
2407,"udu-bi amasz-a nu-dagal-e-de3
","So that the sheep does not expand in number in the sheepfold 
","So that the sheep does not expand in number in its sheepfold
"
2408,"ensi2
","the governor
","ruler
"
2409,"{gesz}kiri6-ni
","his orchard
","lancet
"
2410,"la-ba-da-ti-la-asz-sze3
","which is not  
","was not
"
2411,"{d}inanna
","For Inanna 
","For Inanna
"
2412,"... ma-sar-re-szi im-mi-in-tum3
","He brought them into the Ekur as heaps 
","Thinheadeddeprecating man stupid of mind
"
2413,"nig2-nam-ma-ni en-nu-ug3 ak-da-ne2-esz2 ga2-la nu-dag-ge-da-ne2-esz2
","because he will keep watch over everything and will not be negligent 
","kindling wood
"
2414,"ka-ta e3-a {d}en-lil2-ta
","By the utterance of Enlil
","So that it ruins
"
2415,"ku3-bi 1/2(disz) gin2 2(u) sze
","their silver 12 shekel 2 grains 
","its silver 12 shekel 2 grains
"
2416,"nin ...
","the lady 
","lady
"
2417,"sze-bi 1(gesz2) 5(u) 1(asz) 3(barig) gur
","its barley 111 gur 3 barig 
","its grain 11 gur 3 barig
"
2418,"in-du3-a-ke4
","built  
","built
"
2419,"ninda kum2 nu-mu-gal2
","no baked bread contained 
","no baked bread contains
"
2420,"lugal kal-ga
","strong king
","strong king
"
2421,"x x kal sag dur2-ra dingir-ra-ni {d}ha-ia3 {d}nisaba
"," his personal gods were aya and Nisaba 
","Haya I want to bend Inanna with the arm of Nisaba
"
2422,"1(u) 5(disz) gurusz u4 1(disz)-sze3
","15 workdays male laborers 
","15 workdays male laborers
"
2423,"szen
","apple 
","cauldron
"
2424,"a2-zu-ta
","Nothing can escape from you arm which is like the extended cords of a net 
","lancet
"
2425,"umma{ki}-ke4
","of Umma 
","of Umma
"
2426,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
2427,"mu {d}amar-{d}suen lugal-e x-...
","year AmarSuen the king  
","year AmarSuen the king
"
2428,"i3-gal2
","are here 
","are here
"
2429,"gir2-su{ki} iri{ki} ur-sag-ge26-e-ne-ke4 im gir2-e ba-ab-du11
","irsu the city of heroes was afflicted with a lightning storm 
","The city of the processional barges
"
2430,"nam-szesz-a-ni-sze3
","into legal status as brother
","lancet
"
2431,"kin2-gi4-a en aratta{ki}-ke4 mu-na-ni-ib-gi4-gi4
","The messenger was replying to the lord of Aratta 
","Lord renderer of the decision for you
"
2432,"nin-x
","Nine
","lancet
"
2433,"ama ugu4-zu {d}nin-sun2-ke4 mu-u3-tu-e-en3
","your birthmother Ninsun bore you 
","Mother Ninlil the great queen of the Kiur complex lady who gave birth to the cosmic powers
"
2434,"nig2-du7-e pa mu-na-e3
","made a fitting thing resplendent for him namely 
","made a fitting thing resplendent for him namely
"
2435,"uruda-bi simug im-tu11-be2
","And thus the metalworker would strike its copper 
","smiths were beating its copper
"
2436,"eden tum2-ma
","ashes 
","For the Plain
"
2437,"e2-an-na
","House of Heaven 
","the Eanna
"
2438,"sza3 ki-nu-nir{ki}
","in Kinunir 
","xxx
"
2439,"{disz}la-ah DU
","To bring
","built
"
2440,"{d}nisaba-ke4 szid-bi mu-un-dab5 im-ma bi2-ib-gub-bu-en
","Nisaba has captured their number and you will enter it on the tablet 
","He took away the tree and eaten by itself
"
2441,"ur-{d}namma bara2 gal kur-ra-ke4 x im-mi-in-tusz-na
","they  seated UrNamma on a great dais of the nether world 
","UrNamma seated the dais of the nether world like a great dais
"
2442,"...-KA
"," they brought out  
","was replying
"
2443,"mu-se3-ke-en
","you have united them 
","lancet
"
2444,"u4 im-szu2-szu2 igi im-la2-e sza3-ka-tab ...-zu-zu
","The sun was clouded over one was being enviouswatching and knew fasting 
","The sun was clouded over one was being enviouswatching and knew fasting
"
2445,"mu-na-du3
","he built 
","he built
"
2446,"dub gid2-da
","xxx 
","xxx
"
2447,"... x-za
"," your  
","ekalla
"
2448,"puzur4-ha-ia3
","for Puzriaya 
","lancet
"
2449,"dumu an-na-ra
","the daughter of An 
","the daughter of An
"
2450,"2(ban2) 2(disz) sila3 ga-szex(SIG7)-a
","2 ban2 2 sila3 yellowed milk 
","2 ban2 2 sila3 yellowed milk
"
2451,"GAN2-zi-bi gig ziz2 gu2-gu2 um-re6
","that after the good fields of Laga have brought wheat emmer and all kinds of pulses
","Leopards that rely on their heads shall tear you up
"
2452,"{d}szu-{d}suen
","Suen
","Suen
"
2453,"nig2-ka9-ak udu a-bi2-si2-im-ti
","accounts of sheep of Absimt 
","accounts of sheep Abisimti
"
2454,"lagasz{ki}-ke4
","of Lagash 
","of Laga
"
2455,"sza3-bi-ta
","Therefrom
","therefrom
"
2456,"... i3-du8 gal mu-szi-x-... x
"," chief porters  
","Great Ezida shrine touching heaven
"
2457,"tug2 bar-ra-na al-bir7-re KASZ4 im-sar-sar-re
","She was ripping the clothes from her body she   
","As long as he could assign a price to wisdom the idiot achieved his wish regularly
"
2458,"nig2-kal-la
","Nikala 
","Nigkalla
"
2459,"sza2 mu asz-a-ka
","within one year
","who tows the boat
"
2460,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
2461,"a-di2-nu-szu-ni puzur4-sa-tu-e ...
","which I gave to him Puzurszadue 
","Puzurszadue Aszszur Puszuken
"
2462,"e2-ni mu-du3
","he built hisher temple 
","built his temple
"
2463,"mu-lu sag-ga2 ma2 sag-ga2 ba-ab-ug5
","The men of the front died at the bow 
","The men of the front died at the bow of the boat
"
2464,"i3-gal2
","xxx 
","are here
"
2465,"2(disz) {gesz}gu-za-nin {gesz}szinig
","2  chairs made of tamarisk 
","2 euzga stationed
"
2466,"gibil-bi-am3 mu-na-du3
","he built for him anew 
","he dug
"
2467,"mu-na-du3
","he built for her 
","he built
"
2468,"{gesz}GAN2-ur3 sar-ra
","garden harrow 
","harrow
"
2469,"mu us2-sa e2 puzur4-da-gan ba-du3
","year following The house of PuzriDagan was built 
","year following The house of PuzriDagan was erected
"
2470,"uzu sa tah
","auxiliary tendon 
","boiled meat
"
2471,"szah2-{gesz}gi
","wild boar 
","lancet
"
2472,"lugal-am3 mu n ib2-ak
","was king n years he ruled 
","was king n years they ruled
"
2473,"...-de5-de5-ge-ne
","At the place where clay is to be set apart from stone ie rocks and pebbles they set apart clay from stone 
","lancet
"
2474,"{d}szu-{d}suen
","but Sn
","Suen
"
2475,"dumu ku3-saga
","xxx 
","xxx
"
2476,"kiszib3 ensi2-ka
","under seal of the governor
","under seal of the governor
"
2477,"... x zi ti ...
","No one should be allowed to mix your good quality silver with the unrefined ore of the mountain 
","Its stolen rushes carried away the rushes
"
2478,"kinda2 ISZ sza3
","horizon 
","5 boxes of salt
"
2479,"mu 7(disz) i3-ak
","7 years he ruled 
","7 years he ruled
"
2480,"engar da-ra-am-uri5{ki}
","farmer of TarmUram 
","farmer
"
2481,"na-gada-bi
","and their herdsmen 
","xxx
"
2482,"sza3-ge guru6-sze3
","and either for a freewill offering 
","Thinheadeddeprecating man stupid of mind
"
2483,"{d}szu-{d}suen lugal kal-ga
","Sn
","Sn the mighty king
"
2484,"2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta
","15 sheep grainfed at 1 12 sila3 each 
","15 sheep grainfed at 1 12 sila3 each
"
2485,"szu bar a-ra2 nig2-nam nu-zu-zu
","Whose release is a waydecree of which nothing is known 
","Did you see the leprous man
"
2486,"{u2}|ZI&ZI.LAGAB|-gin7 ba-bu {u2}|ZI&ZI.LAGAB|-gin7 ba-ze2 ur2-ba ti mi-ni-ib-bala
","were torn out like rushes were plucked like rushes their trunks were turned sideways 
","The priestsmith Nintukalamma
"
